automated readability index,average letter per word,average sentence length,average sentence per word,birth,characters,coleman liau index,dale chall readability score,day,death,difficult words,downloads,flesch kincaid grade,flesch reading ease,full,gunning fog,id,linsear write formula,month,month name,name,polarity,polysyllables,rank,sentences,smog index,subjectivity,syllables,title,total,type,url,words,year
13.4,4.92,23.0,0.04,1819,1043045,11.55,6.5,1,1891,23167,11270,9.9,65.05,"June, 2001",11.200000000000001,2701,11.0,6,June,"Melville, Herman",0.08228645346376395,6639,11,9104,3.1,0.4780492613378924,294744.6,"Moby Dick; Or, The Whale",7,Text,https://www.gutenberg.org/ebooks/2701,212099,2001
8.2,4.6,16.0,0.06,1859,480294,9.1,5.81,14,1930,9148,11125,6.0,80.62,"October 14, 1892",8.4,1661,2.5,10,October,"Doyle, Arthur Conan",0.06259143797439362,1978,12,6522,3.1,0.48668184738715853,137215.8,The Adventures of Sherlock Holmes,8,Text,https://www.gutenberg.org/ebooks/1661,104488,1892
9.9,4.59,19.0,0.05,1812,845501,9.34,5.8,1,1870,14224,11068,7.2,77.57,"July, 1998",9.600000000000001,1400,7.5,7,July,"Dickens, Charles",0.07798368485830932,4088,13,9487,3.1,0.4906242353128296,240762.6,Great Expectations,8,Text,https://www.gutenberg.org/ebooks/1400,184398,1998
8.6,4.95,13.0,0.07,1882,1311231,10.84,6.35,1,1941,34649,10568,6.0,75.2,"July, 2003",7.2,4300,6.0,7,July,"Joyce, James",0.07123035788724716,7005,14,19726,3.1,0.46306693286286965,363292.2,Ulysses,7,Text,https://www.gutenberg.org/ebooks/4300,264835,2003
10.3,4.78,18.0,0.05,1812,649070,10.44,6.0,1,1870,12613,10312,6.8,78.59,"January, 1994",9.200000000000001,98,56.0,1,January,"Dickens, Charles",0.07806610204565802,3256,15,7396,3.1,0.4904532055717023,183016.8,A Tale of Two Cities,8,Text,https://www.gutenberg.org/ebooks/98,135820,1994
26.6,4.88,50.0,0.02,1667,16656,11.91,9.24,1,1745,674,10014,20.4,37.65,October 1997,22.0,1080,18.0,10,October,"Swift, Jonathan",0.1756914585039587,86,16,68,8.8,0.5064583455208455,4864.5,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick",6,Text,https://www.gutenberg.org/ebooks/1080,3410,1997
8.8,4.41,18.0,0.05,1847,708335,8.3,5.65,16,1912,11445,9852,6.8,78.59,"August 16, 2013",9.200000000000001,345,18.0,8,August,"Stoker, Bram",0.075270589540311,2338,17,8522,3.1,0.5030392097632636,202932.9,Dracula,9,Text,https://www.gutenberg.org/ebooks/345,160693,2013
20.6,4.83,38.0,0.03,1469,239378,11.33,7.23,11,1527,5367,9690,15.8,49.83,"February 11, 2006",17.2,1232,6.5,2,February,"Machiavelli, Niccolo",0.1465468177804127,1905,18,1287,8.8,0.5204133612464581,71705.7,The Prince,7,Text,https://www.gutenberg.org/ebooks/1232,49525,2006
6.7,4.63,12.0,0.08,1854,365606,8.69,5.74,9,1900,7523,9681,4.4,84.68,"June 9, 2008",6.800000000000001,174,4.5,6,June,"Wilde, Oscar",0.06991381964989916,1647,19,6234,3.1,0.5458973341303766,105003.9,The Picture of Dorian Gray,7,Text,https://www.gutenberg.org/ebooks/174,78920,2008
10.8,4.9,18.0,0.05,1828,2759940,11.14,5.36,1,1910,29647,9580,7.9,70.13,"January 1, 1870",9.200000000000001,2600,53.0,1,January,"Tolstoy, Leo, graf",0.08206641711733968,16369,20,30757,3.1,0.47401511558244336,787942.8,War and Peace,7,Text,https://www.gutenberg.org/ebooks/2600,563029,1870
10.5,4.31,23.0,0.04,1786,435880,8.01,1.91,1,1859,4955,9016,7.5,81.97,"April, 2001",11.200000000000001,2591,13.0,4,April,"Grimm, Wilhelm",0.10661117464793538,394,21,4355,3.1,0.4841397158628057,121229.1,Grimms' Fairy Tales,8,Text,https://www.gutenberg.org/ebooks/2591,101107,2001
13.5,4.81,24.0,0.04,0,283286,10.91,6.36,18,0,5708,8559,10.3,64.04,"January 18, 2009",11.600000000000001,27827,6.0,1,January,Vatsyayana,0.13107012953611397,1464,22,2397,3.1,0.46422065099943055,81087.3,"The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks",8,Text,https://www.gutenberg.org/ebooks/27827,58912,2009
9.6,4.8,16.0,0.06,1775,755056,10.26,5.68,1,1817,12447,8513,7.2,72.16,"August, 1994",8.4,158,18.0,8,August,"Austen, Jane",0.157109182497322,4851,23,9348,3.1,0.5423073450027583,216434.7,Emma,8,Text,https://www.gutenberg.org/ebooks/158,157439,1994
13.3,5.45,18.0,0.06,0,211970,14.03,7.5,19,0,7311,8199,7.9,70.13,"July 19, 2005",9.200000000000001,16328,8.0,7,July,Unknown,0.13712860361621118,900,24,2142,3.1,0.5371790132759954,54235.8,Beowulf: An Anglo-Saxon Epic Poem,8,Text,https://www.gutenberg.org/ebooks/16328,38925,2005
10.2,4.93,16.0,0.06,1802,2783024,11.02,5.51,22,1885,38795,7900,7.2,72.16,"June 22, 2008",8.4,135,6.5,6,June,"Hugo, Victor",0.0777559225920661,17239,25,33543,3.1,0.494210060487325,790112.7,Les Misrables,5,Text,https://www.gutenberg.org/ebooks/135,565071,2008
12.9,4.64,24.0,0.04,0,876698,9.93,5.68,14,0,10266,7458,10.3,64.04,"October 14, 2009",11.600000000000001,30254,7.0,10,October,Anonymous,0.19117116184685465,4879,26,7588,3.1,0.5466514480657667,256281.3,The Romance of Lust: A Classic Victorian erotic novel,8,Text,https://www.gutenberg.org/ebooks/30254,188911,2009
10.4,4.72,19.0,0.05,1816,876153,10.1,6.17,29,1855,18723,7449,8.3,69.11,"April 29, 2007",9.600000000000001,1260,8.5,4,April,"Bronte, Charlotte",0.0841139886145198,4697,27,9674,3.1,0.5025611302873831,250376.4,Jane Eyre: An Autobiography,6,Text,https://www.gutenberg.org/ebooks/1260,185452,2007
19.1,4.99,34.0,0.03,1819,607831,12.25,7.34,1,1892,15547,6899,14.2,53.89,"May, 1998",15.600000000000001,1322,26.0,5,May,"Whitman, Walt",0.14474490574127938,2727,28,3570,3.1,0.5076378089163257,165151.8,Leaves of Grass,6,Text,https://www.gutenberg.org/ebooks/1322,121711,1998
8.0,4.67,14.0,0.07,1882,315667,9.21,6.0,1,1941,7147,6879,5.2,82.65,"September, 2001",7.6000000000000005,2814,17.0,9,September,"Joyce, James",0.06809492924074417,1148,29,4530,3.1,0.47237120583594877,88344.0,Dubliners,6,Text,https://www.gutenberg.org/ebooks/2814,67546,2001
12.3,4.85,21.0,0.05,1775,574844,10.85,5.9,25,1817,9203,6503,9.1,67.08,"May 25, 2008",10.4,161,13.5,5,May,"Austen, Jane",0.131879813586973,3913,30,5447,3.1,0.5325451309613446,167003.1,Sense and Sensibility,8,Text,https://www.gutenberg.org/ebooks/161,118578,2008
20.6,4.87,38.0,0.03,1588,1038638,11.56,6.72,1,1679,16169,6411,15.8,49.83,"May, 2002",17.2,3207,11.0,5,May,"Hobbes, Thomas",0.11616782697752301,7741,31,5581,8.8,0.46430038311161786,305930.7,Leviathan,7,Text,https://www.gutenberg.org/ebooks/3207,213304,2002
11.0,4.64,21.0,0.05,1850,119352,9.63,6.82,1,1894,3485,6410,7.9,75.54,"October, 1992",10.4,42,7.5,10,October,"Stevenson, Robert Louis",0.06787933764993412,545,32,1215,3.1,0.4877173556522048,34174.8,The Strange Case of Dr. Jekyll and Mr. Hyde,7,Text,https://www.gutenberg.org/ebooks/42,25740,1992
9.2,4.51,18.0,0.05,1850,307677,8.88,5.96,25,1894,6192,6396,6.8,78.59,"February 25, 2006",9.200000000000001,120,18.0,2,February,"Stevenson, Robert Louis",0.07407747334028003,782,33,3625,3.1,0.47350471800100735,85782.6,Treasure Island,8,Text,https://www.gutenberg.org/ebooks/120,68267,2006
9.9,4.77,17.0,0.06,1818,552364,10.09,6.07,19,1848,11639,6237,6.4,79.6,"April 19, 2007",8.8,768,5.0,4,April,"Bronte, Emily",0.04585489516510218,2750,34,6524,3.1,0.510068286883796,156315.6,Wuthering Heights,7,Text,https://www.gutenberg.org/ebooks/768,115874,2007
9.0,4.72,16.0,0.06,1857,178939,9.8,6.68,1,1924,5407,5875,7.2,72.16,February 1995,8.4,219,13.0,2,February,"Conrad, Joseph",0.04901319630088766,1128,35,2309,3.1,0.5026182298220377,51631.2,Heart of Darkness,7,Text,https://www.gutenberg.org/ebooks/219,37902,1995
10.8,4.9,18.0,0.05,1802,2248795,11.14,5.51,1,1870,28477,5861,7.9,70.13,"January, 1998",9.200000000000001,1184,13.5,1,January,"Dumas, Alexandre",0.09324194609829525,13018,36,25116,3.1,0.4975364718118205,638292.6,"The Count of Monte Cristo, Illustrated",7,Text,https://www.gutenberg.org/ebooks/1184,459021,1998
19.3,4.71,37.0,0.03,1667,491558,10.63,6.89,15,1745,9363,5752,15.4,50.84,"June 15, 2009",16.8,829,4.0,6,June,"Swift, Jonathan",0.11480158865025024,2822,37,2818,8.8,0.47662289873120817,144955.8,Gulliver's Travels into Several Remote Nations of the World,6,Text,https://www.gutenberg.org/ebooks/829,104293,2009
8.8,4.82,15.0,0.07,1850,308607,10.08,6.1,11,1904,6963,5702,6.8,73.17,"March 11, 2006",8.0,160,18.5,3,March,"Chopin, Kate",0.0958378068054441,1688,38,4264,3.1,0.4823495632383955,87984.0,"The Awakening, and Selected Short Stories",7,Text,https://www.gutenberg.org/ebooks/160,63991,2006
8.2,4.64,15.0,0.06,1860,220012,9.34,5.91,1,1937,4608,5657,5.6,81.63,"July, 1991",8.0,16,12.5,7,July,"Barrie, J. M. (James Matthew)",0.0908218570698009,686,39,3054,3.1,0.5243416869206348,60405.3,Peter Pan,7,Text,https://www.gutenberg.org/ebooks/16,47437,1991
11.5,4.71,21.0,0.05,1877,184183,10.04,6.08,6,1962,3481,5483,9.1,67.08,"April 6, 2008",10.4,2500,17.0,4,April,"Hesse, Hermann",0.15748246437739877,817,40,1820,3.1,0.5129865197688851,52859.7,Siddhartha,8,Text,https://www.gutenberg.org/ebooks/2500,39139,2008
14.3,4.73,26.0,0.04,-428,1022560,10.45,6.01,1,-348,14787,5360,11.1,62.01,"October, 1998",12.4,1497,14.0,10,October,Plato,0.14313108039777567,7886,41,8025,3.1,0.5215148170441171,302949.9,The Republic,7,Text,https://www.gutenberg.org/ebooks/1497,216169,1998
15.7,4.89,28.0,0.04,1706,371844,11.38,6.89,28,1790,8971,5169,11.8,59.98,"December 28, 2006",13.200000000000001,20203,7.5,12,December,"Franklin, Benjamin",0.14349507113184382,2885,42,2699,8.8,0.4669560103725871,106481.7,Autobiography of Benjamin Franklin,9,Text,https://www.gutenberg.org/ebooks/20203,75983,2006
24.0,4.3,50.0,0.02,0,519352,8.55,7.0,6,1731,6734,5140,19.3,46.11,"April 6, 2010",22.0,521,7.5,4,April,"Defoe, Daniel",0.10530021393955503,2113,43,2396,3.1,0.47691803683950124,153371.7,The Life and Adventures of Robinson Crusoe,7,Text,https://www.gutenberg.org/ebooks/521,120813,2010
11.2,4.82,19.0,0.05,1757,27028,10.68,6.52,25,1827,690,5115,6.0,86.03,"December 25, 2008",9.600000000000001,1934,13.5,12,December,"Blake, William",0.13704874290797575,24,44,283,3.1,0.5125445559491018,6803.1,"Songs of Innocence, and Songs of Experience",7,Text,https://www.gutenberg.org/ebooks/1934,5602,2008
20.5,4.79,38.0,0.03,1533,2518187,11.09,6.61,17,1592,36163,5056,15.8,49.83,"September 17, 2006",17.2,3600,11.0,9,September,"Montaigne, Michel de",0.1433959400389251,17948,45,13566,8.8,0.5253461387990033,745985.7,Essays of Michel de Montaigne  Complete,8,Text,https://www.gutenberg.org/ebooks/3600,525749,2006
13.9,4.84,25.0,0.04,1265,525296,11.09,6.62,1,1321,12004,4973,9.5,71.48,"September, 2005",12.0,8800,26.5,9,September,Dante Alighieri,0.10851235681394195,931,46,4318,3.1,0.49442483431831064,138464.1,"The Divine Comedy by Dante, Illustrated",8,Text,https://www.gutenberg.org/ebooks/8800,108513,2005
9.4,4.79,16.0,0.06,1812,136753,10.21,6.46,11,1870,3668,4741,6.0,80.62,"August 11, 2004",8.4,46,13.0,8,August,"Dickens, Charles",0.10297132260911637,450,47,1716,3.1,0.4994608844449129,37429.2,A Christmas Carol in Prose; Being a Ghost Story of Christmas,9,Text,https://www.gutenberg.org/ebooks/46,28541,2004
9.0,4.72,16.0,0.06,1859,207047,9.8,6.4,1,1930,5471,4703,7.2,72.16,"April, 1995",8.4,244,11.0,4,April,"Doyle, Arthur Conan",0.06919942616516865,1127,48,2669,3.1,0.47509671037368656,59502.6,A Study in Scarlet,8,Text,https://www.gutenberg.org/ebooks/244,43863,1995
8.8,4.53,17.0,0.06,1865,230331,8.7,5.86,16,1936,4450,4526,5.2,88.06,"January 16, 2006",8.8,236,9.0,1,January,"Kipling, Rudyard",0.03740099163602172,484,49,2873,3.1,0.4545637425100307,63501.3,The Jungle Book,7,Text,https://www.gutenberg.org/ebooks/236,50835,2006
7.9,4.77,13.0,0.07,1821,971506,9.79,5.39,28,1881,14257,4483,6.0,75.2,"March 28, 2006",7.2,2554,8.0,3,March,"Dostoyevsky, Fyodor",0.046716302142544165,7095,50,14828,3.1,0.503362543913968,278055.9,Crime and Punishment,8,Text,https://www.gutenberg.org/ebooks/2554,203492,2006
14.7,5.05,24.0,0.04,-750,957200,12.31,6.17,1,-650,16082,4443,9.1,72.5,September 2006,11.600000000000001,6130,5.5,9,September,Homer,0.10970939288906147,2876,51,7692,3.1,0.5226854109617926,252473.4,The Iliad,11,Text,https://www.gutenberg.org/ebooks/6130,189422,2006
21.0,5.28,35.0,0.03,1844,330833,13.94,7.92,1,1900,10092,4347,16.9,35.95,"August, 2003",16.0,4363,11.0,8,August,"Nietzsche, Friedrich Wilhelm",0.11232784809361654,4344,52,1779,11.2,0.5330417084098305,97875.9,Beyond Good and Evil,7,Text,https://www.gutenberg.org/ebooks/4363,62652,2003
11.4,4.88,19.0,0.05,1694,174417,11.02,6.78,27,1778,4984,4339,8.3,69.11,"November 27, 2006",9.600000000000001,19942,10.5,11,November,Voltaire,0.1460440424213166,972,53,1815,3.1,0.5073950483530955,49873.5,Candide,8,Text,https://www.gutenberg.org/ebooks/19942,35756,2006
14.8,5.59,19.0,0.05,0,760404,15.14,5.54,18,0,8281,4297,8.3,69.11,"September 18, 2007",9.600000000000001,22657,5.5,9,September,Babcock & Wilcox Company,0.06752817391808001,8364,54,6885,8.8,0.4375601575874635,189327.6,"Steam, Its Generation and Use",9,Text,https://www.gutenberg.org/ebooks/22657,135920,2007
7.5,4.84,12.0,0.08,1856,162315,9.9,6.13,1,1950,4041,4287,4.4,84.68,"March, 2003",6.800000000000001,3825,6.5,3,March,"Shaw, Bernard",0.07226004796407746,877,55,2747,3.1,0.5083710206194251,45265.5,Pygmalion,6,Text,https://www.gutenberg.org/ebooks/3825,33552,2003
7.9,4.74,14.0,0.07,1564,4183870,9.62,5.15,1,1616,45905,4166,5.2,82.65,"January, 1994",7.6000000000000005,100,52.0,1,January,"Shakespeare, William",0.1612295008427009,10391,56,62662,3.1,0.5319494401471125,1138463.1,The Complete Works of William Shakespeare,6,Text,https://www.gutenberg.org/ebooks/100,882996,1994
10.5,4.87,17.0,0.06,1812,768704,10.67,5.85,1,1870,13659,4066,6.4,79.6,"November, 1996",8.8,730,27.5,11,November,"Dickens, Charles",0.08524467195611543,3916,57,8818,3.1,0.4930866916052946,212969.7,Oliver Twist,6,Text,https://www.gutenberg.org/ebooks/730,157966,1996
9.0,4.72,16.0,0.06,1857,179060,9.8,6.68,9,1924,5410,3957,7.2,72.16,"January 9, 2006",8.4,526,13.0,1,January,"Conrad, Joseph",0.04865516543463206,1128,58,2309,3.1,0.5031388547876838,51667.2,Heart of Darkness,6,Text,https://www.gutenberg.org/ebooks/526,37926,2006
15.0,5.19,23.0,0.04,1867,1095489,13.12,6.31,6,1952,20473,3933,11.1,56.59,"January 6, 2004",11.200000000000001,10609,19.0,1,January,"Long, William J. (William Joseph)",0.161227693729917,9421,59,8806,8.8,0.47428246508787136,313941.6,English Literature: Its History and Its Significance for the Life of the English-Speaking World,8,Text,https://www.gutenberg.org/ebooks/10609,210885,2004
10.8,4.86,18.0,0.05,1842,18193,10.91,7.65,19,1913,740,3850,7.9,70.13,"March 19, 2008",9.200000000000001,375,10.5,3,March,"Bierce, Ambrose",0.05319318393470936,102,60,200,3.1,0.47741535018653686,5162.4,An Occurrence at Owl Creek Bridge,7,Text,https://www.gutenberg.org/ebooks/375,3744,2008
27.9,4.72,54.0,0.02,1632,266846,10.98,7.64,1,1704,4737,3842,22.0,33.59,"January, 2005",23.6,7370,7.0,1,January,"Locke, John",0.1282687278468411,2015,61,1043,8.8,0.5010064127308006,80451.0,Second Treatise of Government,7,Text,https://www.gutenberg.org/ebooks/7370,56543,2005
13.6,4.49,27.0,0.04,0,3684178,9.06,1.74,2,0,20764,3776,9.1,77.91,"March 2, 2011",12.8,10,7.5,3,March,Unknown,0.11573526589564455,9815,62,29667,3.1,0.5157096435810404,991401.3,The King James Version of the Bible,7,Text,https://www.gutenberg.org/ebooks/10,821130,2011
8.0,4.31,18.0,0.05,0,1124639,7.72,5.41,1,0,14622,3765,6.8,78.59,"January 1, 1888",9.200000000000001,30360,8.5,1,January,Anonymous,0.04672881965553007,3737,63,14292,3.1,0.4668574404642869,328711.5,"My Secret Life, Volumes I. to III.: 1888 Edition",8,Text,https://www.gutenberg.org/ebooks/30360,260851,1888
8.7,4.44,18.0,0.05,1856,175909,8.47,5.48,1,1919,2376,3704,5.6,87.05,"July 1, 2008",9.200000000000001,55,1.5,7,July,"Baum, L. Frank (Lyman Frank)",0.1229120952124936,205,64,2152,3.1,0.517479858012894,49077.9,The Wonderful Wizard of Oz,7,Text,https://www.gutenberg.org/ebooks/55,39588,2008
20.5,5.06,36.0,0.03,1806,263422,12.66,7.39,10,1873,6481,3683,16.2,43.4,"January 10, 2011",16.400000000000002,34901,11.0,1,January,"Mill, John Stuart",0.1137606823079467,3273,65,1439,11.2,0.48822027532369205,80190.9,On Liberty,8,Text,https://www.gutenberg.org/ebooks/34901,52040,2011
8.0,4.58,15.0,0.06,1859,270731,8.99,5.84,1,1930,5482,3677,5.6,81.63,"October, 2001",8.0,2852,5.5,10,October,"Doyle, Arthur Conan",0.06625768484988138,1301,66,3768,3.1,0.495383983104905,77996.7,The Hound of the Baskervilles,6,Text,https://www.gutenberg.org/ebooks/2852,59122,2001
10.0,4.59,19.0,0.05,1859,306930,9.34,6.18,19,1927,6772,3647,7.2,77.57,"October 19, 2010",9.600000000000001,308,4.0,10,October,"Jerome, Jerome K. (Jerome Klapka)",0.06767916178700085,1271,67,3401,3.1,0.4749958644650665,86480.1,Three Men in a Boat,7,Text,https://www.gutenberg.org/ebooks/308,66828,2010
8.3,4.71,15.0,0.07,1832,137377,9.45,5.84,1,1898,2700,3626,5.6,81.63,"February, 1991",8.0,12,10.5,2,February,"Carroll, Lewis",0.08724284395584836,373,68,1938,3.1,0.486644805436109,37274.4,Through the Looking-Glass,7,Text,https://www.gutenberg.org/ebooks/12,29170,1991
9.3,4.73,16.0,0.06,1866,152740,9.86,6.54,2,1946,4316,3599,7.2,72.16,"October 2, 2004",8.4,35,11.0,10,October,"Wells, H. G. (Herbert George)",0.05436392619954661,1011,69,1902,3.1,0.46304118056541577,44856.0,The Time Machine,6,Text,https://www.gutenberg.org/ebooks/35,32298,2004
14.8,4.57,29.0,0.03,1745,377573,9.82,6.52,17,1797,7539,3526,11.1,67.42,"March 17, 2005",13.600000000000001,15399,4.5,3,March,"Equiano, Olaudah",0.13309690461316803,2010,70,2809,3.1,0.48691924409779647,110958.3,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa, The African: Written By Himself",8,Text,https://www.gutenberg.org/ebooks/15399,82531,2005
12.0,4.6,23.0,0.04,1878,686087,9.7,6.08,11,1968,12320,3522,8.7,73.51,"March 11, 2006",11.200000000000001,140,17.5,3,March,"Sinclair, Upton",0.040068339228926046,2947,71,6321,3.1,0.4644464232121743,196649.1,The Jungle,7,Text,https://www.gutenberg.org/ebooks/140,149118,2006
9.3,5.29,11.0,0.09,1869,359174,12.22,5.8,15,1945,6950,3506,4.0,85.69,"February 15, 2010",6.4,31284,10.5,2,February,"Salten, Felix",0.27326448344748866,986,72,5825,3.1,0.5073059360730594,87192.9,Josefine Mutzenbacher: oder Die Geschichte einer Wienerischen Dirne von ihr selbst erzhlt,9,Text,https://www.gutenberg.org/ebooks/31284,67852,2010
14.5,4.64,28.0,0.04,1817,536586,9.93,6.67,1,1862,12047,3501,11.8,59.98,"January, 1995",13.200000000000001,205,58.0,1,January,"Thoreau, Henry David",0.11396075580986613,3414,73,4113,3.1,0.48933162360383486,157520.7,"Walden, and On The Duty Of Civil Disobedience",7,Text,https://www.gutenberg.org/ebooks/205,115646,1995
9.1,4.76,16.0,0.06,1812,491593,10.03,6.04,17,1870,10494,3494,6.0,80.62,"March 17, 2013",8.4,786,8.0,3,March,"Dickens, Charles",0.08739687382130339,2587,74,6369,3.1,0.4984569708076884,137771.1,Hard Times,6,Text,https://www.gutenberg.org/ebooks/786,103230,2013
8.1,4.72,14.0,0.07,1821,1651301,9.5,5.24,12,1881,20241,3478,6.4,74.19,"February 12, 2009",7.6000000000000005,28054,2.5,2,February,"Dostoyevsky, Fyodor",0.07042299049882597,9371,75,23925,3.1,0.5213109524677764,474897.6,The Brothers Karamazov,10,Text,https://www.gutenberg.org/ebooks/28054,350214,2009
18.7,5.11,32.0,0.03,1805,974148,12.95,6.33,21,1859,13330,3455,15.8,39.0,"January 21, 2006",14.8,815,22.0,1,January,"Tocqueville, Alexis de",0.10755925097210459,13853,76,5911,11.2,0.4520576184782361,297308.7,Democracy in America  Volume 1,7,Text,https://www.gutenberg.org/ebooks/815,190451,2006
9.8,4.73,17.0,0.06,1850,2322316,9.86,5.41,2,1893,28790,3437,6.4,79.6,"October 2, 2004",8.8,3090,11.0,10,October,"Maupassant, Guy de",0.06199086277678568,10385,77,27322,3.1,0.48696359089374347,659071.8,Complete Original Short Stories of Guy De Maupassant,7,Text,https://www.gutenberg.org/ebooks/3090,490717,2004
8.6,5.12,11.0,0.08,1883,326211,11.53,6.15,11,0,7927,3434,5.2,77.23,"September 11, 2007",6.4,22577,11.0,9,September,"Wood, Thomas",0.07272736011839737,2252,78,5396,3.1,0.47077537834726185,88321.5,Practical Grammar and Composition,7,Text,https://www.gutenberg.org/ebooks/22577,63677,2007
9.4,4.64,17.0,0.06,1812,1647137,9.34,5.49,1,1870,22731,3427,6.4,79.6,"December, 1996",8.8,766,3.0,12,December,"Dickens, Charles",0.11308074909969966,8232,79,19863,3.1,0.5024246743371027,468659.7,David Copperfield,7,Text,https://www.gutenberg.org/ebooks/766,354823,1996
11.8,4.33,25.0,0.04,0,87391,8.13,6.2,1,1711,1694,3389,8.3,79.94,"March, 1997",12.0,851,7.0,3,March,"Rowlandson, Mary White",0.06631670834305593,184,80,786,3.1,0.4901305831917258,25089.3,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,7,Text,https://www.gutenberg.org/ebooks/851,20204,1997
10.3,4.77,18.0,0.05,1811,861422,10.39,5.96,1,1896,16310,3336,6.8,78.59,"January, 1995",9.200000000000001,203,14.0,1,January,"Stowe, Harriet Beecher",0.09891227793965336,4298,81,9784,3.1,0.5116378773145582,238465.8,Uncle Tom's Cabin,8,Text,https://www.gutenberg.org/ebooks/203,180551,1995
12.5,5.07,20.0,0.05,0,305692,12.13,6.5,4,0,7140,3334,9.9,59.64,"December 4, 2009",10.0,30601,8.5,12,December,"Benedict, Ralph Paine",0.1371448671445656,3102,82,3014,8.8,0.474026024346619,89637.3,How to Analyze People on Sight: Through the Science of Human Analysis: The Five Human Types,9,Text,https://www.gutenberg.org/ebooks/30601,60336,2009
19.1,4.88,35.0,0.03,1783,59630,11.62,8.36,1,1859,2311,3287,14.6,52.87,"October, 1992",16.0,41,10.5,10,October,"Irving, Washington",0.1018072872960371,350,83,348,8.8,0.4915572668997665,17145.9,The Legend of Sleepy Hollow,8,Text,https://www.gutenberg.org/ebooks/41,12214,1992
